Fluid;Temperature;Density
Wheatgerm oil;25;926
Whale oil;15;925
Water, heavy;11.06;1105
Seawater;25;1022
Water;4;1000
Walnut oil;25;921
Vernonia seed oil;30;901
Ucuhuba butter oil;100;870
Turpentine;25;868,2
Tung oil;25;912
Trifluoroacetic Acid;20;1489
Triethylamine;20;728
Trichlorofluoromethane refrigerant R-11;25;1476
Trichlor ethylene;20;1470
Toluene;20;867
Tetrahydrofuran;20;888
Terpinene;25;847
Tall oil;25;969
Sunflower seed oil;20;919
Sulfuryl chloride;;1680
Sulfurus acid;-20;1490
Sulfuric Acid;20;1839
Sulfur dichloride;;1620
Sugar solution;15;1338
Styrene;25;903
Stillinga seed kernel oil;25;937
Stearic Acid;25;891
Soybean oil;20;920
Sorbaldehyde;25;895
Sodium Hydroxide (caustic soda);15;1250
Silicone oil;25;972,5
Silane;25;718
Sheanut butter;100;863
Shark liver oil;25;917
Seaflower seed oil;15;924
Sea water;25;1025
Sardine oil;25;915
Salmon oil;15;924
Rosin oil;15;980
Rice bran oil;25;916
Resorcinol;25;1269
Rape seed oil;20;920
Pyrrole;25;966
Pyridine;25;979
Propylenearbonate;20;1201
Propylene glycol;25;1036
Propylene;25;514,4
Propylamine;20;717
Propanol;25;804
Propane, R-290;25;494
Propane;-40;493,5
Propanal;25;866
Pork lard;20;898
Poppy seed oil;25;916
Pinene;25;857
Pine nut oil;15;919
Phytadiene;25;823
Phulwara butter;100;862
Phosgene;0;1378
Phenol (carbolic acid);25;1072
Petroleum Ether;20;640
Petrol, Vehicle;15.6 ;737
Petrol, natural;15.6 ;711
Perilla oil;25;924
Perchlor ethylene;20;1620
Pentane;20;626
Pentane;25;625
Peanut oil;20;914
Paraldehyde;20;994
Paraffin;;800
Palmitic Acid;25;851
Palm stearin;60;884
Palm olein;40;910
Palm oil;15;914
Palm kernel oil;15;922
p-Xylene;20;861
Oxygen (liquid);-183;1140
Olive oil;20;911
Oiticica oil;20;972
Oil, lubricating;20;900
Oil of turpentine;20;870
Oil of resin;20;940
Octane;15;698,6
Ocimene;25;798
Oat oil;25;917
Oat been oil;25;904
o-Xylene;20;880
o-Dichlorobenzene;20;1306
Nitric acid;0;1560
Niger seed oil;15;924
Neem oil;30;912
Napthalene;25;820
Naphtha, wood;25;960
Naphtha;15;665
N-Methylpyrrolidone;20;1030
n-Butylhloride;20;886
n-Butyl Alcohol (Butanol);20;810
n-Butyl Acetate;20;880
N,N-Dimethylformamide;20;949
Mutton tallow;15;946
Mustard seed oil;20;913
Moringa peregrina seed oil;24;903
Milk;15;1035
Methylamine;25;656
Methyl t-Butyl Ether;20;741
Methyl n-Propyl Ketone;20;808
Methyl Isobutyl Ketone;20;801
Methyl Isoamyl Ketone;20;888
Methyl Ethyl Ketone;20;805
Methanol;20;791
Methane;-164;465
Mercury;;13590
Menhaden oil;15;920
Mango seed oil;15;912
Machine oil;20;910
m-Xylene;20;864
Linseed oil;25;924
Linolenic Acid;25;897
Kerosene;15.6 ;820,1
Kapok seed oil;15;926
Isopropylbenzene hydroperoxide;20;1030
Isopropyl Myristate;20;853
Isopropyl Alcohol;20;785
Isobutyl Alcohol;20;802
Iso-Octane;20;692
Ionene;25;932
Illipe mowrah butter;100;862
Hydrazine;25;795
Hexylamine;20;766
Hexene;25;671
Hexanol;25;811
Hexane;25;654,8
Herring oil;20;914
Heptane;25;679,5
Hempseed oil;25;921
Heating oil;20;920
Hazelnut oil;25;909
Grape seed oil;20;923
Glycerol;25;1261
Glycerine (glycerol 95%, water 5%);25;1249
Glucose;15.6 ;1395
Gasoline, Vehicle;15.6;737
Gasoline, natural;15.6;711
Gas oils;15.6;890
Furforal;25;1155
Furan;25;1416
Fuel oil;15.6;890
Formic acid 80% concentration;20;1221
Formic acid 10% concentration;20;1025
Formaldehyde;45;812
Euphorbia lagascae seed oil;25;952
Ethylene glycol;25;1097
Ethylene Dichloride;20;1253
Ethylamine;16;681
Ethyl Ether;20;713
Ethyl Alcohol (Ethanol, pure alcohol, grain alcohol or drinking alcohol);20;789
Ethyl Acetate;20;901
Ether;25;713,5
Ethane;-89;570
Dodecane;25;754,6
Dimethyl sulfoxide;20;1100
Dimethyl sulfide;20;848
Dimethyl sulfate;20;1332
Dimethyl acetamide;20;942
Diisopropyl ether;25;719
Diethylene glycol diethyl ether;20;906
Diethylene glycol;15;1120
Diethyl ether;20;714
Diethyl ether;20;714
Diethanolamine;20;1097
Diesel fuel oil 20 to 60;15;885
Dichloromethane;20;1326
Dichloromethane;20;1326
Dichlorodifluoromethane refrigerant R-12;25;1311
Decane;25;726,3
Cyclopentane;20;745
Cyclohexane;20;779
Cumene;25;860
Crude oil, Texas;15.6;873
Cresol;25;1024
Creosote;15;1067
Crambe oil;25;906
Cotton seed oil;20;920
Corriander seed oil;25;908
Corn oil;20;919
Cohune nut oil;25;914
Cod liver oil;15;924
Coconut oil;40;930
Cocoa butter;25;974
Citric acid, 50% aqueous solution;15;1220
Chloroform;20;1489
Chloroform;25;1465
Chlorodifluoromethane refrigerant R-22;25;1194
Chlorobenzene;20;1106
Chloride;25;1560
Chinese vegable tallow;25;887
Chicken fat;15;918
Cherry kernel oil;25;918
Castor oil;25;952
Cashew nut oil;15;914
Carene;25;857
Carbon tetrachloride;25;1584
Carbon disulfide;25;1261
Carbolic acid (phenol);15;956
Caproic acid;25;921
Canola rapeseed oil;20;915
Cameline oil;15;924
Butyric Acid;20;959
Butterfat (land animals);15;934
Butane;25;599
Butanal;20;802
Bromine;25;3120
Brine;15;1230
Borneo tallow;100;855
Blackcurrant oil;20;923
Benzil;15;1230
Benzene;25;873,8
Benzaldehyde;25;1040
Beer (varies);10;1010
Beef tallow (land animals);25;902
Babassu palm oil;25;914
Avacado pulp oil;25;912
Automobile oils;15;910
Argan seed oil;20;912
Apricot kernel oil;25;910
Anisole;20;994
Aniline;25;1019
Ammonia (aqua);25;823,5
Alyllamine;20;758
Almond kernel oil;25;910
Alcohol, propyl;25;800
Alcohol, methyl (methanol);25;786,5
Alcohol, ethyl (ethanol);25;785,1
Acrolonitrile;25;801
Acrolein;20;840
Acetonitrile;20;783
Acetone;25;784,6
Acetic Acid;25;1049
Acetaldehyde;18;783
2-Butanone;25;800
2,3-Butandione;18;981